Author
"W. Somerset Maugham"
"Johann Wolfgang von Goethe"
"Washington Irving"
"Leonardo da Vinci"
"Robert Frost"
"Aldous Huxley"
"Henry David Thoreau"
"Lao-Tzu"
"Sir Barnett Cocks"
"John Andrew Holmes"
"Mohandas K. Gandhi"
"Rabindranath Tagore"
"Buddha"
"Soren Kierkegaard"
"Mary Wollstonecraft Shelley"
"Paul Gardner"
"Arthur C Clarke"
"Mark Twain"
"William Shakespeare"
"Edmund Wilson"
"Igor Stravinsky"
"Lord Byron"
"Thiruvalluvar"
"Charles Caleb Colton"
"Kahlil Gibran"
"Viktor Frankl"
"Jorge Luis Borges"
"Samuel Butler"
"e.e. cummings"
"Robert Southey"
"Kalidasa"
"William Henry Channing"
"Charles Augustin Sainte-Beuve"
"Joyce Carol Oates"
"Paulo Freire"
"Thomas Wolfe"
"Vincent van Gogh"
"John Donne"
"Samuel Taylor Coleridge"
"Lucius Annaeus Seneca"
"Eric Hoffer"
"William Ellery Channing"
"Miguel de Cervantes"
"Samuel Johnson"
"T.S. Eliot"
"Nicolas Boileau-Despreaux"
"Robert Maynard Hutchins"
"John Barrington Wain"
"Eleanor Roosevelt"
"Charles Bukowski"
"Hanlon's Razor"
"Thomas Huxley"
"Ralph Waldo Emerson"
"W. H. Auden"
"Alfred Hitchcock"
"John Locke"
"Lawrence Durrell"
"George Orwell"
"Nikos Kazantzakis"
"Galileo Galilei"
"Abraham Lincoln"
"Peter De Vries"
"Thomas Mann"
"Thomas Jefferson"
"Ansel Adams"
"Machado de Assis"
"Mohandas Karamchand Gandhi"
"William Butler Yeats"
"Edmund Spenser"
"Charlemagne"
"James Thurber"
"Lillian Hellman"
"Charles de Montesquieu"
"Marshall McLuhan"
"Confucius"
"Michelangelo Buonarroti"
"Lana Turner"
"Socrates"
"Blaise Pascal"
"George Carlin"
""
"Oscar Levant"
"Piet Hein"
"Hippocrates"
"William Makepeace Thackeray"
"Plato"
"Heraclitus"
"Pericles"
"Bertrand Russell"
"Friedrich Nietzsche"
"Joseph Addison"
"Friedrich Wilhelm Nietzsche"
"Christion Morgenstern"
"Henrik Ibsen"
"Joseph Joubert"
"George Bernard Shaw"
"William James"
"H.G. Wells"
"Raymond Thornton Chandler"
"Marguerite Guardiner"
"William Strunk and E.B. White"
"Upton Sinclair"
"Immanuel Kant"
"Richard Francis Burton"
