Quote,Author
"The ability to quote is a serviceable substitute for wit.","W. Somerset Maugham"
"Many people take no care of their money till they come nearly to the end of it, and others do just the same with their time.","Johann Wolfgang von Goethe"
"Love is never lost. If not reciprocated, it will flow back and soften and purify the heart.","Washington Irving"
"In rivers, the water that you touch is the last of what has passed and the first of that which comes; so with present time.","Leonardo da Vinci"
"Poetry is what gets lost in translation.","Robert Frost"
"I call architecture frozen music.","Johann Wolfgang von Goethe"
"Maybe this world is another planet's Hell.","Aldous Huxley"
"Spring is a natural resurrection, an experience in immortality.","Henry David Thoreau"
"To the mind that is still, the whole universe surrenders.","Lao-Tzu"
"A committee is a cul-de-sac down which ideas are lured and then quietly strangled.","Sir Barnett Cocks"
"Speech is conveniently located midway between thought and action, where it often substitutes for both.","John Andrew Holmes"
"Happiness is when what you think, what you say, and what you do are in harmony.","Mohandas K. Gandhi"
"The mountain remains unmoved at seeming defeat by the mist.","Rabindranath Tagore"
"Holding on to anger is like grasping a hot coal with the intent of throwing it at someone else; you are the one getting burned.","Buddha"
"It is easy enough to be friendly to one's friends. But to befriend the one who regards himself as your enemy is the quintessence of true religion. The other is mere business.","Mohandas K. Gandhi"
"Most men pursue pleasure with such breathless haste they hurry past it.","Soren Kierkegaard"
"Nothing contributes so much to tranquilizing the mind as a steady purpose - a point on which the soul may fix its intellectual eye.","Mary Wollstonecraft Shelley"
"A painting is never finished - it simply stops in interesting places.","Paul Gardner"
"Sometimes I think we're alone in the universe, and sometimes I think we're not. In either case, the idea is quite staggering.","Arthur C Clarke"
"Nothing that grieves us can be called little: by the eternal laws of proportion a child's loss of a doll and a king's loss of a crown are events of the same size.","Mark Twain"
"My library / Was dukedom large enough.","William Shakespeare"
"No two persons ever read the same book.","Edmund Wilson"
"Just as appetite comes by eating so work brings inspiration.","Igor Stravinsky"
"Words are things; and a small drop of ink / Falling like dew upon a thought, produces / That which makes thousands, perhaps millions, think.","Lord Byron"
"The only gift is giving to the poor; / All else is exchange.","Thiruvalluvar"
"No metaphysician ever felt the deficiency of language so much as the grateful.","Charles Caleb Colton"
"The lights of stars that were extinguished ages ago still reach us. So it is with great men who died centuries ago, but still reach us with the radiation of their personalities.","Kahlil Gibran"
"We who lived in concentration camps can remember the men who walked through the huts comforting others, giving away their last piece of bread. They may have been few in number, but they offer sufficient proof that everything can be taken from a man but one thing: the last of the human freedoms – to choose one's attitude in any given set of circumstances, to choose one's own way.","Viktor Frankl"
"I have always imagined that paradise will be a kind of library.","Jorge Luis Borges"
"Praise, like gold and diamonds, owes its value to its scarcity.","Samuel Butler"
"To be nobody but yourself - in a world which is doing its best, night and day, to make you like everybody else - means to fight the hardest battle which any human being can fight, and never stop fighting.","e.e. cummings"
"It is with words as with sunbeams, the more they are condensed, the deeper they burn.","Robert Southey"
"Words are like money; there is nothing so useless, unless when in actual use.","Samuel Butler"
